t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
2.304,1.036822058,0.072865063,0.193417991,0.521354978,-0.097426032,-0.14537529,-0.732722086,-1.033995251,-0.939396026,0.072510227,0.539304095,0.512640273
2.32,1.039719678,0.080980644,0.178134424,0.519079093,-0.108924898,-0.161445657,-0.741624518,-1.026140683,-0.93079478,0.080465013,0.563490094,0.50706159
2.336,1.042381823,0.089059766,0.163226215,0.516683848,-0.120568993,-0.17738589,-0.751333527,-1.017305244,-0.92181283,0.088326123,0.588107311,0.500621397
2.352,1.044814219,0.097100706,0.148676759,0.514186602,-0.132370527,-0.193180393,-0.761800354,-1.007451092,-0.912443692,0.096079688,0.613123595,0.493264489
2.368,1.047022332,0.105101996,0.134469293,0.511603191,-0.144340901,-0.208812972,-0.772969917,-0.996539123,-0.902681431,0.103710976,0.638500623,0.484935933
2.384,1.049011366,0.113062407,0.120586974,0.508948004,-0.156490606,-0.224266815,-0.784780508,-0.984529736,-0.89252076,0.111204407,0.664193534,0.475581733
2.4,1.050786262,0.120980923,0.107012928,0.506234073,-0.168829116,-0.239524495,-0.797163548,-0.971383678,-0.881957146,0.118543572,0.690150619,0.465149605
2.416,1.052351697,0.128856721,0.093730301,0.503473144,-0.18136478,-0.254567982,-0.810043395,-0.957062992,-0.870986917,0.125711261,0.716313094,0.453589848
2.432,1.053712085,0.136689151,0.080722296,0.500675756,-0.194104711,-0.26937867,-0.823337255,-0.941532053,-0.859607374,0.132689519,0.742614959,0.440856297
2.448,1.05487153,0.144477337,0.067972829,0.497851444,-0.207054037,-0.283936715,-0.836954526,-0.924759536,-0.847817493,0.139459378,0.768981697,0.426908093
2.464,1.055834038,0.152221689,0.055464059,0.495008253,-0.220218335,-0.298223942,-0.850799638,-0.906716247,-0.835615703,0.146002253,0.79533558,0.411707994
2.48,1.056603184,0.159921589,0.043180163,0.492153633,-0.233599721,-0.312219642,-0.864768366,-0.887381283,-0.823003463,0.152298053,0.821588203,0.39522765
2.496,1.057182349,0.167576909,0.031104837,0.48929394,-0.247199275,-0.32590354,-0.878750986,-0.866740053,-0.809983073,0.15832663,0.847646149,0.377446113
2.512,1.057574659,0.175187615,0.019221938,0.486434628,-0.261016321,-0.339255198,-0.892632323,-0.84478631,-0.796558338,0.164067583,0.873410385,0.358351681
2.528,1.057782993,0.182753748,0.007515491,0.483580299,-0.275048351,-0.352254154,-0.906292668,-0.821523328,-0.782734641,0.169500406,0.898777177,0.337943029
2.544,1.057809978,0.190275418,-0.004030305,0.480734746,-0.289290961,-0.364880077,-0.919608916,-0.796965006,-0.768519017,0.174604659,0.923639221,0.316230261
2.56,1.057658001,0.197752786,-0.015431077,0.477900996,-0.303737809,-0.377112943,-0.932455916,-0.771136809,-0.753920192,0.179360157,0.947886993,0.293235813
2.576,1.057329201,0.205186054,-0.026702277,0.475081345,-0.318380593,-0.38893322,-0.944708023,-0.744076535,-0.738948608,0.183747165,0.9714103,0.26899519
2.592,1.056825481,0.212575457,-0.037859184,0.472277395,-0.33320906,-0.400322065,-0.956240822,-0.715834842,-0.723616421,0.187746608,0.994100006,0.243557447
2.608,1.056148506,0.219921247,-0.048916905,0.469490075,-0.348211038,-0.41126153,-0.966932988,-0.686475489,-0.707937468,0.191340283,1.015849894,0.216985414
2.624,1.055299706,0.227223686,-0.059890382,0.466719675,-0.363372497,-0.42173476,-0.976668228,-0.656075271,-0.69192721,0.194511074,1.036558611,0.189355596
